"New Hampshire"
2013
"NEIWPCC- http://neiwpcc.org/our-programs/wetlands-aquatic-species/nebawwg/nqa/"
"New Hampshire  , 2013"

"Total Species:",2225
"Native Species:",1574
"Non-native Species:",651
"Total Mean C:",3.4
"Native Mean C:",4.9

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Milium effusum",,MIEF,native,5,,,,"american milletgrass"
"Mimulus moschatus",,MIMO3,native,8,,,,muskflower
"Mimulus ringens",,MIRI,native,4,,,,"allegheny monkeyflower"
"Minuartia glabra",,MIGL5,native,6,,,,"appalachian stitchwort"
"Minuartia groenlandica",,MIGR7,native,5,,,,"greenland stitchwort"
"Minuartia michauxii",,MIMI2,native,5,,,,"michauxs stitchwort"
"Minuartia stricta",,MIST5,native,5,,,,"bog stitchwort"
"Mirabilis nyctaginea",,MINY,non-native,0,,,,"heartleaf four oclock"
"Mitchella repens",,MIRE,native,6,,,,partridgeberry
"Mitella diphylla",,MIDI3,native,8,,,,"twoleaf miterwort"
"Mitella nuda",,MINU3,native,8,,,,"naked miterwort"
"Moehringia lateriflora",,MOLA6,native,3,,,,"bluntleaf sandwort"
"Mollugo verticillata",,MOVE,non-native,0,,,,"green carpetweed"
"Monarda didyma",,MODI,non-native,0,,,,"scarlet beebalm"
"Monarda fistulosa",,MOFI,non-native,0,,,,"wild bergamot"
"Monarda media",,MOME,non-native,0,,,,"purple bergamot"
"Moneses uniflora",,MOUN2,native,6,,,,"single delight"
"Monotropa hypopithys",,MOHY3,native,5,,,,pinesap
"Monotropa uniflora",,MOUN3,native,5,,,,indianpipe
"Morella pensylvanica",,MOPE6,native,6,,,,"northern bayberry"
"Morus alba",,MOAL,non-native,0,,,,"white mulberry"
"Muhlenbergia frondosa",,MUFR2,native,3,,,,"wirestem muhly"
"Muhlenbergia glomerata",,MUGL3,native,7,,,,"spiked muhly"
"Muhlenbergia mexicana",,MUME2,native,3,,,,"mexican muhly"
"Muhlenbergia racemosa",,MURA,non-native,0,,,,"marsh muhly"
"Muhlenbergia schreberi",,MUSC,native,3,,,,nimblewill
"Muhlenbergia sobolifera",,MUSO,native,6,,,,"rock muhly"
"Muhlenbergia sylvatica",,MUSY,native,5,,,,"woodland muhly"
"Muhlenbergia tenuiflora",,MUTE,native,6,,,,"slimflower muhly"
"Muhlenbergia uniflora",,MUUN,native,3,,,,"bog muhly"
"Muscari botryoides",,MUBO,non-native,0,,,,"common grape hyacinth"
"Mycelis muralis",,MYMU,non-native,0,,,,"wall lettuce"
"Myosotis arvensis",,MYAR,native,3,,,,"field forget-me-not"
"Myosotis laxa",,MYLA,native,4,,,,"bay forget-me-not"
"Myosotis scorpioides",,MYSC,non-native,0,,,,"true forget-me-not"
"Myosotis stricta",,MYST2,non-native,0,,,,"strict forget-me-not"
"Myosotis sylvatica",,MYSY,non-native,0,,,,"woodland forget-me-not"
"Myosotis verna",,MYVE,native,4,,,,"spring forget-me-not"
"Myosoton aquaticum",,MYAQ,non-native,0,,,,giantchickweed
"Myrica gale",,MYGA,native,6,,,,sweetgale
"Myriophyllum alterniflorum",,MYAL3,native,5,,,,"alternateflower watermilfoil"
"Myriophyllum farwellii",,MYFA2,native,5,,,,"farwells watermilfoil"
"Myriophyllum heterophyllum",,MYHE2,non-native,0,,,,"twoleaf watermilfoil"
"Myriophyllum humile",,MYHU,native,4,,,,"low watermilfoil"
"Myriophyllum sibiricum",,MYSI,native,5,,,,"shortspike watermilfoil"
"Myriophyllum spicatum",,MYSP2,non-native,0,,,,"eurasian watermilfoil"
"Myriophyllum tenellum",,MYTE,native,5,,,,"slender watermilfoil"
"Myriophyllum verticillatum",,MYVE3,native,5,,,,"whorl-leaf watermilfoil"
"Najas flexilis",,NAFL,native,5,,,,"nodding waternymph"
"Najas gracillima",,NAGR,native,5,,,,"slender waternymph"
"Najas guadalupensis",,NAGU,native,5,,,,"southern waternymph"
"Najas minor",,NAMI,non-native,0,,,,"brittle waternymph"
"Nasturtium microphyllum",,NAMI2,non-native,0,,,,"small-leaved watercress"
"Nasturtium officinale",,NAOF,non-native,0,,,,watercress
"Nepeta cataria",,NECA2,non-native,0,,,,catnip
"Neslia paniculata",,NEPA3,non-native,0,,,,ballmustard
"Nicandra physalodes",,NIPH,non-native,0,,,,"apple of peru"
"Nicotiana rustica",,NIRU,non-native,0,,,,"aztec tobacco"
"Nuphar lutea",,NULU,native,3,,,,"yellow pond-lily"
"Nuphar lutea ssp. variegata",,NULUV,native,3,,,,"varigated yellow pond-lily"
"Nuphar microphylla",,NULUP2,native,6,,,,"yellow pond-lily"
"Nuttallanthus canadensis",,NUCA,native,2,,,,"canada toadflax"
"Nymphaea odorata",,NYOD,native,4,,,,"american white waterlily"
"Nymphaea odorata ssp. tuberosa",,NYODT,native,4,,,,"american white waterlily"
"Nymphoides cordata",,NYCO,native,5,,,,"little floatingheart"
"Nymphoides peltata",,NYPE,non-native,0,,,,"yellow floatingheart"
"Nyssa sylvatica",,NYSY,native,7,,,,blackgum
"Oclemena acuminata",,OCAC,native,4,,,,"whorled wood aster"
"Oclemena nemoralis",,OCNE2,native,7,,,,"bog aster"
"Oenothera biennis",,OEBI,native,2,,,,"common evening primrose"
"Oenothera fruticosa",,OEFR,native,2,,,,"narrowleaf evening primrose"
"Oenothera glazioviana",,OEGL,non-native,0,,,,"redsepal evening primrose"
"Oenothera nutans",,OENU2,native,3,,,,"nodding evening primrose"
"Oenothera oakesiana",,OEOA,native,3,,,,"oakes evening primrose"
"Oenothera parviflora",,OEPA5,native,2,,,,"northern evening primrose"
"Oenothera perennis",,OEPE,native,2,,,,"little evening primrose"
"Oenothera pilosella",,OEPI2,non-native,0,,,,"meadow evening primrose"
"Oenothera villosa",,OEVI,non-native,0,,,,"hairy evening primrose"
"Oligoneuron album",,SOPT4,native,7,,,,"prairie goldenrod"
"Omalotheca supina",,OMSU,native,8,,,,"alpine cudweed"
"Omalotheca sylvatica",,OMSY,native,3,,,,"woodland arctic cutweed"
"Onoclea sensibilis",,ONSE,native,2,,,,"sensitive fern"
"Onosmodium bejariense",,ONBE,non-native,0,,,,"soft-hair marbleseed"
"Onosmodium bejariense var. hispidissimum",,ONBEH,non-native,0,,,,"soft-hair marbleseed"
"Ophioglossum pusillum",,OPPU3,native,3,,,,"northern adderstongue"
"Ornithogalum umbellatum",,ORUM,non-native,0,,,,sleepydick
"Orobanche uniflora",,ORUN,native,3,,,,"oneflowered broomrape"
"Orthilia secunda",,ORSE,native,7,,,,"sidebells wintergreen"
"Oryzopsis asperifolia",,ORAS,native,3,,,,"roughleaf ricegrass"
"Osmorhiza berteroi",,OSBE,native,6,,,,sweetcicely
"Osmorhiza claytonii",,OSCL,native,7,,,,"claytons sweetroot"
"Osmorhiza longistylis",,OSLO,native,7,,,,"longstyle sweetroot"
"Osmunda cinnamomea",,OSCI,native,3,,,,"cinnamon fern"
"Osmunda claytoniana",,OSCL2,native,4,,,,"interrupted fern"
"Osmunda regalis",,OSRE,native,4,,,,"royal fern"
"Ostrya virginiana",,OSVI,native,6,,,,hophornbeam
"Oxalis corniculata",,OXCO,non-native,0,,,,"creeping woodsorrel"
"Oxalis dillenii",,OXST,native,2,,,,"common yellow oxalis"
"Oxalis montana",,OXMO,native,6,,,,"mountain woodsorrel"
"Oxalis stricta",,OXST,native,2,,,,"common yellow oxalis"
"Oxyria digyna",,OXDI3,native,10,,,,"alpine mountainsorrel"
"Packera aurea",,PAAU3,native,4,,,,"golden ragwort"
"Packera obovata",,PAOB6,native,7,,,,"roundleaf ragwort"
"Packera paupercula",,PAPA20,native,7,,,,"balsam groundsel"
"Packera schweinitziana",,PASC19,native,4,,,,"schweinitzs ragwort"
"Panax quinquefolius",,PAQU,native,8,,,,"american ginseng"
"Panax trifolius",,PATR2,native,5,,,,"dwarf ginseng"
"Panicum capillare",,PACA6,native,2,,,,witchgrass
"Panicum dichotomiflorum",,PADI,native,2,,,,"fall panicgrass"
"Panicum miliaceum",,PAMI2,non-native,0,,,,"broomcorn millet"
"Panicum philadelphicum",,PAPH,native,3,,,,"philadelphia panicgrass"
"Panicum rigidulum",,PARI4,native,3,,,,"redtop panicgrass"
"Panicum rigidulum var. pubescens",,PARIP,native,3,,,,"redtop panicgrass"
"Panicum virgatum",,PAVI2,native,3,,,,switchgrass
"Papaver rhoeas",,PARH2,non-native,0,,,,"corn poppy"
"Papaver somniferum",,PASO2,non-native,0,,,,"opium poppy"
"Parietaria pensylvanica",,PAPE5,native,3,,,,"pennsylvania pellitory"
"Parnassia glauca",,PAGL3,native,7,,,,"fen grass of parnassus"
"Paronychia argyrocoma",,PAAR4,native,9,,,,silverling
"Paronychia canadensis",,PACA11,native,6,,,,"smooth forked nailwort"
"Parthenocissus quinquefolia",,PAQU2,native,3,,,,"virginia creeper"
"Parthenocissus vitacea",,PAVI5,native,3,,,,woodbine
"Pascopyrum smithii",,PASM,non-native,0,,,,"western wheatgrass"
"Paspalum setaceum",,PASE5,native,2,,,,"thin paspalum"
"Pastinaca sativa",,PASA2,non-native,0,,,,"wild parsnip"
"Pedicularis canadensis",,PECA,native,2,,,,"canadian lousewort"
"Peltandra virginica",,PEVI,native,6,,,,"green arrow arum"
"Pennisetum glaucum",,PEGL2,non-native,0,,,,"pearl millet"
"Penstemon calycosus",,PECA7,non-native,0,,,,"longsepal beardtongue"
"Penstemon digitalis",,PEDI,native,2,,,,"talus slope penstemon"
"Penstemon hirsutus",,PEHI,native,2,,,,"hairy beardtongue"
"Penstemon pallidus",,PEPA7,native,2,,,,"pale beardtongue"
"Penstemon tubiflorus",,PETU,non-native,0,,,,"white wand beardtongue"
"Penthorum sedoides",,PESE6,native,3,,,,"ditch stonecrop"
"Petasites frigidus",,PEFR5,native,7,,,,"arctic sweet coltsfoot"
"Petasites frigidus var. palmatus",,PEFRP,native,7,,,,"arctic sweet coltsfoot"
"Petrorhagia saxifraga",,PESA9,non-native,0,,,,"saxifrage pink"
"Petunia axillaris",,PEAX,non-native,0,,,,"large white petunia"
"Petunia integrifolia",,PEIN5,non-native,0,,,,"violetflower petunia"
"Phalaris arundinacea",,PHAR3,native,2,,,,"reed canarygrass"
"Phalaris canariensis",,PHCA5,non-native,0,,,,"annual canarygrass"
"Phaseolus vulgaris",,PHVU,non-native,0,,,,"kidney bean"
"Phegopteris connectilis",,PHCO24,native,4,,,,"long beechfern"
"Phegopteris hexagonoptera",,PHHE11,native,6,,,,"broad beechfern"
"Philadelphus coronarius",,PHCO7,non-native,0,,,,"sweet mock orange"
"Phleum alpinum",,PHAL2,native,9,,,,"alpine timothy"
"Phleum pratense",,PHPR3,non-native,0,,,,timothy
"Phlox paniculata",,PHPA9,non-native,0,,,,"fall phlox"
"Phlox subulata",,PHSU3,non-native,0,,,,"moss phlox"
"Photinia floribunda",,PHFL9,native,4,,,,"purple chokeberry"
"Photinia melanocarpa",,PHME13,native,4,,,,"black chokeberry"
"Photinia pyrifolia",,PHPY4,native,4,,,,"red chokeberry"
"Phragmites australis",,PHAU7,non-native,0,,,,"common reed"
"Phryma leptostachya",,PHLE5,native,6,,,,"american lopseed"
"Phyllodoce caerulea",,PHCA10,native,9,,,,"mountain heath"
"Physalis heterophylla",,PHHE5,native,2,,,,"clammy groundcherry"
"Physalis longifolia",,PHLO4,non-native,0,,,,"longleaf groundcherry"
"Physalis virginiana",,PHVI5,non-native,0,,,,"virginia groundcherry"
"Physocarpus opulifolius",,PHOP,non-native,0,,,,"common ninebark"
"Physostegia virginiana",,PHVI8,non-native,0,,,,"obedient plant"
"Phytolacca americana",,PHAM4,native,2,,,,"american pokeweed"
"Picea abies",,PIAB,non-native,0,,,,"norway spruce"
"Picea glauca",,PIGL,native,4,,,,"white spruce"
"Picea mariana",,PIMA,native,6,,,,"black spruce"
"Picea rubens",,PIRU,native,5,,,,"red spruce"
"Pilea pumila",,PIPU2,native,8,,,,"canadian clearweed"
"Pinguicula vulgaris",,PIVU,native,10,,,,"common butterwort"
"Pinus banksiana",,PIBA2,native,8,,,,"jack pine"
"Pinus mugo",,PIMU80,non-native,0,,,,"mugo pine"
"Pinus resinosa",,PIRE,native,3,,,,"red pine"
"Pinus rigida",,PIRI,native,4,,,,"pitch pine"
"Pinus strobus",,PIST,native,2,,,,"eastern white pine"
"Pinus sylvestris",,PISY,non-native,0,,,,"scots pine"
"Piptatherum canadense",,PICA17,native,6,,,,"canadian ricegrass"
"Piptatherum pungens",,PIPU7,native,4,,,,"mountain ricegrass"
"Piptatherum racemosum",,PIRA5,native,8,,,,"riceseed ricegrass"
"Pisum sativum",,PISA6,non-native,0,,,,"garden pea"
"Plantago aristata",,PLAR3,non-native,0,,,,"largebracted plantain"
"Plantago lanceolata",,PLLA,non-native,0,,,,"narrowleaf plantain"
"Plantago major",,PLMA2,non-native,0,,,,"common plantain"
"Plantago maritima",,PLMA3,native,6,,,,"goose tongue"
"Plantago media",,PLME,non-native,0,,,,"hoary plantain"
"Plantago psyllium",,PLPS,non-native,0,,,,"sand plantain"
"Plantago rugelii",,PLRU,native,2,,,,"blackseed plantain"
"Platanthera aquilonis",,PLAQ2,native,4,,,,"northern green orchid"
"Platanthera blephariglottis",,PLBL,native,8,,,,"white fringed orchid"
"Platanthera clavellata",,PLCL,native,6,,,,"small green wood orchid"
"Platanthera dilatata",,PLDI3,native,6,,,,scentbottle
"Platanthera flava",,PLFL,native,5,,,,"palegreen orchid"
"Platanthera grandiflora",,PLGR2,native,6,,,,"greater purple fringed orchid"
"Platanthera hookeri",,PLHO3,native,6,,,,"hookers orchid"
"Platanthera huronensis",,PLHU2,native,4,,,,"huron green orchid"
"Platanthera lacera",,PLLA2,native,3,,,,"green fringed orchid"
"Platanthera macrophylla",,PLMA9,native,5,,,,"greater roundleaved orchid"
"Platanthera obtusata",,PLOB,native,7,,,,"bluntleaved orchid"
"Platanthera orbiculata",,PLOR4,native,6,,,,"lesser roundleaved orchid"
"Platanthera psycodes",,PLPS2,native,5,,,,"lesser purple fringed orchid"
"Platanus occidentalis",,PLOC,native,5,,,,"american sycamore"
"Pluchea odorata",,PLOD,native,8,,,,sweetscent
"Poa alsodes",,POAL3,native,6,,,,"grove bluegrass"
"Poa annua",,POAN,non-native,0,,,,"annual bluegrass"
"Poa compressa",,POCO,non-native,0,,,,"canada bluegrass"
"Poa glauca",,POGL,native,8,,,,"glaucous bluegrass"
"Poa laxa",,POLA10,native,9,,,,"mt. washington bluegrass"
"Poa laxa ssp. fernaldiana",,POLAF,native,9,,,,"fernalds bluegrass"
"Poa nemoralis",,PONE,native,3,,,,"wood bluegrass"
"Poa palustris",,POPA2,native,2,,,,"fowl bluegrass"
"Poa pratensis",,POPR,non-native,0,,,,"kentucky bluegrass"
"Poa pratensis ssp. alpigena",,POPRA6,native,8,,,,"kentucky bluegrass"
"Poa pratensis ssp. pratensis",,POPRP2,non-native,0,,,,"kentucky bluegrass"
"Poa saltuensis",,POSA,native,6,,,,"oldpasture bluegrass"
"Poa trivialis",,POTR2,non-native,0,,,,"rough bluegrass"
"Podophyllum peltatum",,POPE,native,3,,,,mayapple
"Podostemum ceratophyllum",,POCE3,native,8,,,,"hornleaf riverweed"
"Pogonia ophioglossoides",,POOP,native,7,,,,"snakemouth orchid"
"Polanisia dodecandra",,PODO3,non-native,0,,,,"redwhisker clammyweed"
"Polemonium caeruleum",,POCA2,non-native,0,,,,charity
"Polemonium reptans",,PORE2,non-native,0,,,,"greek valerian"
"Polycnemum majus",,POMA24,non-native,0,,,,"giant needleleaf"
"Polygala ambigua",,POAM9,native,2,,,,"whorled milkwort"
"Polygala cruciata",,POCR,native,4,,,,drumheads
"Polygala paucifolia",,POPA5,native,2,,,,gaywings
"Polygala polygama",,POPO,native,3,,,,"racemed milkwort"
"Polygala sanguinea",,POSA3,native,2,,,,"purple milkwort"
"Polygala verticillata",,POVE,native,2,,,,"whorled milkwort"
"Polygonatum biflorum",,POBI2,native,4,,,,"smooth solomons seal"
"Polygonatum biflorum var. commutatum",,POBI2,native,4,,,,"smooth solomons seal"
"Polygonatum pubescens",,POPU4,native,6,,,,"hairy solomons seal"
"Polygonella articulata",,POAR4,native,3,,,,"coastal jointweed"
"Polygonum amphibium",,POAM8,native,3,,,,"water knotweed"
"Polygonum amphibium var. emersum",,POAME,native,3,,,,"longroot smartweed"
"Polygonum amphibium var. stipulaceum",,POAMS,native,3,,,,"water smartweed"
"Polygonum arenastrum",,POAR11,non-native,0,,,,"ovalleaf knotweed"
"Polygonum arifolium",,POAR6,native,3,,,,"halberdleaf tearthumb"
"Polygonum aviculare",,POAV,non-native,0,,,,"prostrate knotweed"
"Polygonum bellardii",,POBE,non-native,0,,,,"narrowleaf knotweed"
"Polygonum buxiforme",,POBU2,native,3,,,,"american knotweed"
"Polygonum careyi",,POCA8,native,2,,,,"careys smartweed"
"Polygonum cespitosum",,POCA49,non-native,0,,,,"oriental ladys thumb"
"Polygonum cilinode",,FACI,native,3,,,,"fringed black bindweed"
"Polygonum convolvulus",,POCO10,non-native,0,,,,"black bindweed"
"Polygonum cuspidatum",,POCU6,non-native,0,,,,"japanese knotweed"
"Polygonum douglasii",,PODO4,native,8,,,,"douglas knotweed"
"Polygonum erectum",,POER2,native,2,,,,"erect knotweed"
"Polygonum hydropiper",,POHY,non-native,0,,,,"marshpepper knotweed"
"Polygonum hydropiperoides",,POHY2,native,4,,,,"swamp smartweed"
"Polygonum lapathifolium",,POLA4,native,2,,,,"curlytop knotweed"
"Polygonum orientale",,POOR2,non-native,0,,,,"kiss me over the garden gate"
"Polygonum pensylvanicum",,POPE2,native,2,,,,"pennsylvania smartweed"
"Polygonum persicaria",,POPE3,native,2,,,,"spotted ladysthumb"
"Polygonum punctatum",,POPU5,native,4,,,,"dotted smartweed"
"Polygonum ramosissimum",,PORA3,native,2,,,,"bushy knotweed"
"Polygonum robustius",,PORO,native,4,,,,"stout smartweed"
"Polygonum sagittatum",,POSA5,native,2,,,,"arrowleaf tearthumb"
"Polygonum scandens",,FASC,native,4,,,,"climbing false buckwheat"
"Polygonum tenue",,POTE2,native,3,,,,"pleatleaf knotweed"
"Polygonum virginianum",,POVI2,native,5,,,,jumpseed
"Polygonum viviparum",,BIVI2,native,8,,,,"alpine bistort"
"Polypodium appalachianum",,POAP,native,7,,,,"appalachian polypody"
"Polypodium virginianum",,POVI7,native,7,,,,"rock polypody"
"Polypogon monspeliensis",,POMO5,non-native,0,,,,"annual rabbitsfoot grass"
"Polystichum acrostichoides",,POAC4,native,6,,,,"christmas fern"
"Polystichum braunii",,POBR4,native,8,,,,"brauns hollyfern"
"Pontederia cordata",,POCO14,native,3,,,,pickerelweed
"Populus alba",,POAL7,non-native,0,,,,"white poplar"
"Populus balsamifera",,POBA2,native,3,,,,"balsam poplar"
"Populus deltoides",,PODE3,native,8,,,,"eastern cottonwood"
"Populus grandidentata",,POGR4,native,2,,,,"bigtooth aspen"
"Populus nigra",,PONI,non-native,0,,,,"lombardy poplar"
"Populus tremuloides",,POTR5,native,2,,,,"quaking aspen"
"Portulaca oleracea",,POOL,non-native,0,,,,"little hogweed"
"Potamogeton alpinus",,POAL8,native,5,,,,"alpine pondweed"
"Potamogeton amplifolius",,POAM5,native,5,,,,"largeleaf pondweed"
"Potamogeton bicupulatus",,POBI9,native,6,,,,"snailseed pondweed"
"Potamogeton confervoides",,POCO12,native,5,,,,"tuckermans pondweed"
"Potamogeton crispus",,POCR3,non-native,0,,,,"curly pondweed"
"Potamogeton epihydrus",,POEP2,native,5,,,,"ribbonleaf pondweed"
"Potamogeton foliosus",,POFO3,native,6,,,,"leafy pondweed"
"Potamogeton gramineus",,POGR8,native,5,,,,"variableleaf pondweed"
"Potamogeton illinoensis",,POIL,native,6,,,,"illinois pondweed"
"Potamogeton natans",,PONA4,native,5,,,,"floating pondweed"
"Potamogeton nodosus",,PONO2,native,5,,,,"longleaf pondweed"
"Potamogeton oakesianus",,POOA,native,6,,,,"oakes pondweed"
"Potamogeton obtusifolius",,POOB2,native,5,,,,"bluntleaf pondweed"
"Potamogeton perfoliatus",,POPE7,native,5,,,,"claspingleaf pondweed"
"Potamogeton praelongus",,POPR5,native,5,,,,"whitestem pondweed"
"Potamogeton pulcher",,POPU6,native,5,,,,"spotted pondweed"
"Potamogeton pusillus",,POPU7,native,5,,,,"small pondweed"
"Potamogeton pusillus ssp. pusillus",,POPUP5,native,5,,,,"small pondweed"
"Potamogeton richardsonii",,PORI2,native,5,,,,"richardsons pondweed"
"Potamogeton robbinsii",,PORO2,native,5,,,,"robbins pondweed"
"Potamogeton spirillus",,POSP3,native,5,,,,"spiral pondweed"
"Potamogeton strictifolius",,POST2,native,5,,,,"narrowleaf pondweed"
"Potamogeton vaseyi",,POVA3,native,5,,,,"vaseys pondweed"
"Potamogeton zosteriformis",,POZO,native,5,,,,"flatstem pondweed"
"Potentilla argentea",,POAR8,non-native,0,,,,"silver cinquefoil"
"Potentilla arguta",,POAR7,native,4,,,,"tall cinquefoil"
"Potentilla canadensis",,POCA17,native,3,,,,"dwarf cinquefoil"
"Potentilla gracilis",,POGR9,non-native,0,,,,"slender cinquefoil"
"Potentilla gracilis var. gracilis",,POGRG3,non-native,0,,,,"graceful cinquefoil"
"Potentilla intermedia",,POIN8,non-native,0,,,,"downy cinquefoil"
"Potentilla norvegica",,PONO3,native,2,,,,"norwegian cinquefoil"
"Potentilla pensylvanica",,POPE8,native,3,,,,"pennsylvania cinquefoil"
"Potentilla pulcherrima",,POPU9,non-native,0,,,,"beautiful cinquefoil"
"Potentilla recta",,PORE5,non-native,0,,,,"sulphur cinquefoil"
"Potentilla robbinsiana",,PORO3,native,10,,,,"dwarf mountain cinquefoil"
"Potentilla simplex",,POSI2,native,2,,,,"common cinquefoil"
"Prenanthes alba",,PRAL2,native,6,,,,"white rattlesnakeroot"
"Prenanthes altissima",,PRAL3,native,6,,,,"tall rattlesnakeroot"
"Prenanthes boottii",,PRBO2,native,6,,,,"alpine rattlesnakeroot"
"Prenanthes nana",,PRTR,native,4,,,,"gall of the earth"
"Prenanthes serpentaria",,PRSE,native,3,,,,cankerweed
"Prenanthes trifoliolata",,PRTR,native,4,,,,"gall of the earth"
"Proboscidea louisianica",,PRLO,non-native,0,,,,"rams horn"
"Proserpinaca palustris",,PRPA3,native,3,,,,"marsh mermaidweed"
"Proserpinaca pectinata",,PRPE,native,6,,,,"combleaf mermaidweed"
"Prunella vulgaris",,PRVU,native,2,,,,"common selfheal"
"Prunella vulgaris ssp. lanceolata",,PRVUL2,native,2,,,,"lance selfheal"
"Prunus americana",,PRAM,native,4,,,,"american plum"
"Prunus avium",,PRAV,non-native,0,,,,"sweet cherry"
"Prunus cerasifera",,PRCE2,non-native,0,,,,"cherry plum"
"Prunus cerasus",,PRCE,non-native,0,,,,"sour cherry"
"Prunus domestica",,PRDO,non-native,0,,,,"european plum"
"Prunus maritima",,PRMA2,native,7,,,,"beach plum"
"Prunus nigra",,PRNI,non-native,0,,,,"canadian plum"
"Prunus pensylvanica",,PRPE2,native,2,,,,"pin cherry"
"Prunus pumila",,PRPU3,native,5,,,,sandcherry
"Prunus pumila var. depressa",,PRPUD,native,5,,,,"eastern sandcherry"
"Prunus serotina",,PRSE2,native,3,,,,"black cherry"
"Prunus spinosa",,PRSP,non-native,0,,,,blackthorn
"Prunus susquehanae",,PRPUS,native,4,,,,"sand cherry"
"Prunus virginiana",,PRVI,native,2,,,,chokecherry
"Pseudognaphalium helleri",,PSHE4,native,3,,,,"hellers cudweed"
"Pseudognaphalium macounii",,PSMA11,native,2,,,,"macouns cudweed"
"Pseudognaphalium obtusifolium",,PSOB3,native,2,,,,rabbit-tobacco
"Pseudolysimachion longifolium",,VELO2,non-native,0,,,,"long-leaved speedwell"
"Pseudolysimachion spurium",,PSSP9,non-native,0,,,,"bastard speedwell"
"Ptelea trifoliata",,PTTR,non-native,0,,,,"common hoptree"
"Pteridium aquilinum",,PTAQ,native,3,,,,"western brackenfern"
"Pterospora andromedea",,PTAN2,native,5,,,,"woodland pinedrops"
"Puccinellia americana",,PUMA,non-native,0,,,,"seaside alkaligrass"
"Puccinellia fasciculata",,PUFA,non-native,0,,,,"saltmarsh alkaligrass"
"Puccinellia laurentiana",,PULA3,native,3,,,,"tracadigash mountain alkaligrass"
"Puccinellia tenella",,PUTE,native,4,,,,"tundra alkaligrass"
"Puccinellia tenella ssp. langeana",,PUTEL,native,4,,,,"tundra alkaligrass"
"Pycnanthemum incanum",,PYIN,native,5,,,,"hoary mountainmint"
"Pycnanthemum muticum",,PYMU,native,4,,,,"clustered mountainmint"
"Pycnanthemum tenuifolium",,PYTE,native,4,,,,"narrowleaf mountainmint"
"Pycnanthemum torrei",,PYTO,native,5,,,,"torreys mountainmint"
"Pycnanthemum virginianum",,PYVI,native,4,,,,"virginia mountainmint"
"Pyrola americana",,PYAM,native,6,,,,"american wintergreen"
"Pyrola asarifolia",,PYAS,native,7,,,,"liverleaf wintergreen"
"Pyrola asarifolia ssp. asarifolia",,PYASA,native,7,,,,"liverleaf wintergreen"
"Pyrola chlorantha",,PYCH,native,6,,,,"greenflowered wintergreen"
"Pyrola elliptica",,PYEL,native,6,,,,"waxflower shinleaf"
"Pyrola minor",,PYMI,native,6,,,,"snowline wintergreen"
"Pyrus communis",,PYCO,non-native,0,,,,"common pear"
"Quercus alba",,QUAL,native,4,,,,"white oak"
"Quercus bicolor",,QUBI,native,7,,,,"swamp white oak"
"Quercus coccinea",,QUCO2,native,5,,,,"scarlet oak"
"Quercus ilicifolia",,QUIL,native,5,,,,"bear oak"
"Quercus macrocarpa",,QUMA2,native,4,,,,"bur oak"
"Quercus prinoides",,QUPR,native,6,,,,"dwarf chinkapin oak"
"Quercus prinus",,QUPR2,native,6,,,,"chestnut oak"
"Quercus robur",,QURO2,non-native,0,,,,"english oak"
"Quercus rubra",,QURU,native,4,,,,"northern red oak"
"Quercus velutina",,QUVE,native,5,,,,"black oak"
"Ranunculus abortivus",,RAAB,native,6,,,,"littleleaf buttercup"
"Ranunculus acris",,RAAC3,non-native,0,,,,"tall buttercup"
"Ranunculus acris var. acris",,RAAC3,non-native,0,,,,"tall buttercup"
"Ranunculus ambigens",,RAAM,native,3,,,,"waterplantain spearwort"
"Ranunculus bulbosus",,RABU,non-native,0,,,,"st. anthonys turnip"
"Ranunculus cymbalaria",,RACY,native,6,,,,"alkali buttercup"
"Ranunculus fascicularis",,RAFA,native,8,,,,"early buttercup"
"Ranunculus ficaria",,RAFI,non-native,0,,,,"fig buttercup"
"Ranunculus flabellaris",,RAFL,native,6,,,,"yellow water buttercup"
"Ranunculus flammula",,RAFL2,native,5,,,,"greater creeping spearwort"
"Ranunculus hispidus",,RAHI,native,4,,,,"bristly buttercup"
"Ranunculus longirostris",,RAAQD,native,5,,,,"longbeak buttercup"
"Ranunculus pensylvanicus",,RAPE2,native,4,,,,"pennsylvania buttercup"
"Ranunculus recurvatus",,RARE2,native,6,,,,blisterwort
"Ranunculus repens",,RARE3,non-native,0,,,,"creeping buttercup"
"Ranunculus sceleratus",,RASC3,native,3,,,,"cursed buttercup"
"Ranunculus trichophyllus",,RAAQD,native,5,,,,"longbeak buttercup"
"Raphanus raphanistrum",,RARA2,non-native,0,,,,"wild radish"
"Raphanus sativus",,RASA2,non-native,0,,,,"cultivated radish"
"Reseda alba",,REAL,non-native,0,,,,"white upright mignonette"
"Reseda lutea",,RELU,non-native,0,,,,"yellow mignonette"
"Rhamnus alnifolia",,RHAL,native,7,,,,"alderleaf buckthorn"
"Rhamnus cathartica",,RHCA3,non-native,0,,,,"common buckthorn"
"Rheum rhabarbarum",,RHRH2,non-native,0,,,,"garden rhubarb"
"Rhexia virginica",,RHVI,native,6,,,,"handsome harry"
